time_s,freq_dev_hz,variant,variant_label
564.0,0.024256899890624517,bf_only,AGC redistribution only (bf=second)
565.0,0.012857860266821675,bf_only,AGC redistribution only (bf=second)
566.0,0.012868437986561787,bf_only,AGC redistribution only (bf=second)
567.0,0.021084377192477355,bf_only,AGC redistribution only (bf=second)
568.0,0.021096655305963274,bf_only,AGC redistribution only (bf=second)
569.0,0.02193223999389815,bf_only,AGC redistribution only (bf=second)
570.0,0.03428698478843639,bf_only,AGC redistribution only (bf=second)
571.0,0.02661695132980757,bf_only,AGC redistribution only (bf=second)
572.0,0.039819015468967045,bf_only,AGC redistribution only (bf=second)
573.0,0.024191603815291174,bf_only,AGC redistribution only (bf=second)
574.0,0.01927035599338378,bf_only,AGC redistribution only (bf=second)
575.0,0.020793796961093847,bf_only,AGC redistribution only (bf=second)
576.0,0.013416681303213274,bf_only,AGC redistribution only (bf=second)
577.0,0.020202011265286757,bf_only,AGC redistribution only (bf=second)
578.0,0.026535694290683587,bf_only,AGC redistribution only (bf=second)
579.0,0.02733225964735908,bf_only,AGC redistribution only (bf=second)
580.0,0.044510869381473306,bf_only,AGC redistribution only (bf=second)
581.0,0.03156731439181382,bf_only,AGC redistribution only (bf=second)
582.0,0.033815635240004305,bf_only,AGC redistribution only (bf=second)
583.0,0.032615162765177175,bf_only,AGC redistribution only (bf=second)
584.0,0.015414753581231011,bf_only,AGC redistribution only (bf=second)
585.0,0.012772272766374826,bf_only,AGC redistribution only (bf=second)
586.0,0.02226693256668799,bf_only,AGC redistribution only (bf=second)
587.0,0.02407382114665957,bf_only,AGC redistribution only (bf=second)
588.0,0.028752123159709875,bf_only,AGC redistribution only (bf=second)
589.0,0.02413988803380729,bf_only,AGC redistribution only (bf=second)
590.0,0.0036411574899464227,bf_only,AGC redistribution only (bf=second)
591.0,0.010374988577774857,bf_only,AGC redistribution only (bf=second)
592.0,0.028479431027434998,bf_only,AGC redistribution only (bf=second)
593.0,0.03502926932591244,bf_only,AGC redistribution only (bf=second)
594.0,0.038170470358172004,bf_only,AGC redistribution only (bf=second)
595.0,0.03978643034494134,bf_only,AGC redistribution only (bf=second)
596.0,0.02283305035031269,bf_only,AGC redistribution only (bf=second)
597.0,0.02022001773376303,bf_only,AGC redistribution only (bf=second)
598.0,0.013069488973114218,bf_only,AGC redistribution only (bf=second)
599.0,0.01866307322952121,bf_only,AGC redistribution only (bf=second)
600.0,0.02802308666766784,bf_only,AGC redistribution only (bf=second)
601.0,0.028147537271530076,bf_only,AGC redistribution only (bf=second)
602.0,0.03842406985560043,bf_only,AGC redistribution only (bf=second)
603.0,0.02604273044989558,bf_only,AGC redistribution only (bf=second)
604.0,0.036507552788647146,bf_only,AGC redistribution only (bf=second)
605.0,0.032615773800892534,bf_only,AGC redistribution only (bf=second)
606.0,0.014909247567409523,bf_only,AGC redistribution only (bf=second)
607.0,0.010835844046441778,bf_only,AGC redistribution only (bf=second)
608.0,0.023453985698798085,bf_only,AGC redistribution only (bf=second)
609.0,0.026423205403425243,bf_only,AGC redistribution only (bf=second)
610.0,0.030418730907064706,bf_only,AGC redistribution only (bf=second)
611.0,0.03548473394269447,bf_only,AGC redistribution only (bf=second)
612.0,0.039127747639469135,bf_only,AGC redistribution only (bf=second)
613.0,0.03835650323097184,bf_only,AGC redistribution only (bf=second)
614.0,0.022075217783679157,bf_only,AGC redistribution only (bf=second)
615.0,0.016923423176375962,bf_only,AGC redistribution only (bf=second)
616.0,0.015754669242915575,bf_only,AGC redistribution only (bf=second)
617.0,0.03152493908129994,bf_only,AGC redistribution only (bf=second)
618.0,0.03618732380551659,bf_only,AGC redistribution only (bf=second)
619.0,0.033573998375593384,bf_only,AGC redistribution only (bf=second)
620.0,0.024195707527527865,bf_only,AGC redistribution only (bf=second)
621.0,0.027206930581140654,bf_only,AGC redistribution only (bf=second)
622.0,0.02909213916507447,bf_only,AGC redistribution only (bf=second)
623.0,0.012323489348746719,bf_only,AGC redistribution only (bf=second)
624.0,0.0217083583197919,bf_only,AGC redistribution only (bf=second)
625.0,0.01712691667027144,bf_only,AGC redistribution only (bf=second)
626.0,0.022200506553344823,bf_only,AGC redistribution only (bf=second)
627.0,0.025976892285242137,bf_only,AGC redistribution only (bf=second)
628.0,0.04583157171980545,bf_only,AGC redistribution only (bf=second)
629.0,0.028657999666670264,bf_only,AGC redistribution only (bf=second)
630.0,0.030593340100741884,bf_only,AGC redistribution only (bf=second)
631.0,0.04497199861472456,bf_only,AGC redistribution only (bf=second)
632.0,0.025040647708389763,bf_only,AGC redistribution only (bf=second)
633.0,0.025611974557673278,bf_only,AGC redistribution only (bf=second)
634.0,0.031655441407658635,bf_only,AGC redistribution only (bf=second)
635.0,0.036117203380610086,bf_only,AGC redistribution only (bf=second)
636.0,0.03636765734686964,bf_only,AGC redistribution only (bf=second)
637.0,0.028659894767386618,bf_only,AGC redistribution only (bf=second)
638.0,0.03137498638145608,bf_only,AGC redistribution only (bf=second)
639.0,0.014230191723481056,bf_only,AGC redistribution only (bf=second)
640.0,0.028691817263792885,bf_only,AGC redistribution only (bf=second)
641.0,0.017072706139420468,bf_only,AGC redistribution only (bf=second)
642.0,0.018811834551741846,bf_only,AGC redistribution only (bf=second)
